Folder	ItemName	Lang	Ano	Generos
Coragem, o Cão Covarde	Coragem, o Cão Covarde	en	1999	Animação|Família|Sci-Fi & Fantasy|Comédia|Kids
Cowboy Bebop	Cowboy Bebop	ja	1998	Animação|Action & Adventure|Sci-Fi & Fantasy|Faroeste
Cowboy Bebop (1998)	Cowboy Bebop	ja	1998	Animação|Action & Adventure|Sci-Fi & Fantasy|Faroeste
Crepúsculo dos Deuses	Crepúsculo dos Deuses	en	2024	Animação|Sci-Fi & Fantasy|Action & Adventure
Cuphead - A Série	Cuphead: A Série	en	2022	Animação|Comédia|Família
Cyberpunk - Mercenários	Cyberpunk: Mercenários	ja	2022	Animação|Action & Adventure|Sci-Fi & Fantasy|Crime
Death Note	Death Note	ja	2006	Animação|Mistério|Sci-Fi & Fantasy
Deca-Dence	DECA-DENCE	ja	2020	Animação|Drama|Action & Adventure|Sci-Fi & Fantasy
Deep Insanity - The Lost Child	Deep Insanity THE LOST CHILD	ja	2021	Animação|Sci-Fi & Fantasy|Action & Adventure
Devilman Crybaby	Devilman Crybaby	ja	2018	Animação|Action & Adventure|Sci-Fi & Fantasy
Digimon	Digimon Beatbreak	ja	2025	Animação|Action & Adventure|Sci-Fi & Fantasy|Kids
Digimon Adventure (2020)	Digimon Adventure:	ja	2020	Animação|Action & Adventure|Sci-Fi & Fantasy|Kids
Dorothy e o Mágico de Oz	Dorothy e o Mágico de Oz	en	2017	Animação|Action & Adventure|Kids
DOTA - Dragon’s Blood	DOTA: Dragon's Blood	en	2021	Sci-Fi & Fantasy|Action & Adventure|Animação
Doutora Brinquedos	Doutora Brinquedos	en	2012	Animação|Kids|Família
Dr. Stone	Dr. Stone	ja	2019	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy
Dragões - Equipe de Resgate ‑ Heróis do Céu	Dragões: Equipe de Resgate ‑ Heróis do Céu	en	2021	Kids|Animação
Dragon Ball	Dragon Ball Z	ja	1989	Animação|Sci-Fi & Fantasy|Action & Adventure
Dragon Ball GT	Dragon Ball GT	ja	1996	Animação|Action & Adventure|Sci-Fi & Fantasy
Dragon Ball Super	Dragon Ball Super	ja	2015	Animação|Action & Adventure|Sci-Fi & Fantasy
Dragon Ball Z	Dragon Ball Z	ja	1989	Animação|Sci-Fi & Fantasy|Action & Adventure
Dragon Ball Z Kai	Dragon Ball Z Kai	ja	2009	Sci-Fi & Fantasy|Animação|Action & Adventure|Comédia
Dragon Goes House-Hunting	Dragon Goes House-Hunting	ja	2021	Animação|Comédia|Sci-Fi & Fantasy
Drama Total Kids	Drama Total Kids	en	2018	Animação|Kids|Família|Comédia
Duncanville	Duncanville	en	2020	Comédia|Animação
Elena de Avalor	Elena de Avalor	en	2016	Animação|Kids
Elliott O Terráqueo	Elliott, O Terráqueo	en	2021	Animação|Comédia
Ergo Proxy	Ergo Proxy	ja	2006	Animação|Mistério|Sci-Fi & Fantasy
Esquadrão De Heróis	Esquadrão de Heróis	en	2009	Action & Adventure|Animação|Comédia
Eu Elvis Riboldi	Eu, Elvis Riboldi	es	2020	Animação|Kids|Comédia
Eu Sou Groot	Eu Sou Groot	en	2022	Animação|Comédia|Família|Sci-Fi & Fantasy|Kids
Evil or Live	Evil or Live	ja	2017	Animação|Drama
F is for Family	F is for Family	en	2015	Comédia|Animação
Fairfax	Fairfax	en	2021	Comédia|Animação
Family Guy	Uma Família da Pesada	en	1999	Animação|Comédia
Fancy Nancy Clancy	Fancy Nancy Clancy	en	2018	Animação|Kids
Final Space	Final Space	en	2018	Animação|Action & Adventure|Sci-Fi & Fantasy|Comédia
Food Wars Shokugeki no Soma	Food Wars! Shokugeki no Soma	ja	2015	Animação|Comédia|Drama
Fruits Basket	Fruits Basket	ja	2019	Animação|Drama|Sci-Fi & Fantasy
Full Dive This Ultimate Next-Gen Full Dive RPG Is Even Shittier Than Real Life	Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!	ja	2021	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
Fullmetal Alchemist - Brotherhood	Fullmetal Alchemist: Brotherhood	ja	2009	Animação|Action & Adventure|Sci-Fi & Fantasy|Drama
Gigantossauro	Gigantossauro	en	2019	Kids|Família|Animação
Gleipnir	Gleipnir	ja	2020	Animação|Mistério|Comédia|Action & Adventure|Sci-Fi & Fantasy
GNOSIA	GNOSIA	ja	2025	Animação|Mistério|Sci-Fi & Fantasy
Godzilla Singular Point	Godzilla Ponto Singular	ja	2021	Animação|Action & Adventure|Sci-Fi & Fantasy|Mistério
Gokushufudou	Gokushufudou: Tatsu Imortal	ja	2021	Animação|Comédia
Great Pretender	Great Pretender	ja	2020	Animação|Drama|Comédia|Action & Adventure
Haha, You Clowns	Haha, You Clowns	en	2025	Animação|Comédia
Harley Quinn	Arlequina	en	2019	Action & Adventure|Animação|Comédia|Sci-Fi & Fantasy
Hataraku Saibou	Cells at Work!	ja	2018	Animação|Action & Adventure|Comédia
Hatena Illusion	Hatena☆Illusion	ja	2020	Animação|Comédia|Drama|Sci-Fi & Fantasy
Hell's Paradise	Hell's Paradise	ja	2023	Animação|Action & Adventure|Sci-Fi & Fantasy
Hércules	Hércules	en	1998	Comédia|Kids|Animação|Action & Adventure
Higurashi When They Cry Gou	Higurashi: When They Cry - GOU	ja	2020	Animação|Mistério|Sci-Fi & Fantasy|Drama
Homem-Aranha da Marvel	Seu Amigão da Vizinhança: Homem-Aranha	en	2025	Animação|Action & Adventure|Sci-Fi & Fantasy
Hora de Aventura	Hora de Aventura	en	2010	Animação|Comédia|Sci-Fi & Fantasy
Hora de Aventura - Terras Distantes	Hora de Aventura: Terras Distantes	en	2020	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy|Família
Horimiya	Horimiya	ja	2021	Animação|Comédia|Drama
Hulk e os Agentes de S.M.A.S.H	Hulk e os Agentes de S.M.A.S.H.	en	2013	Action & Adventure|Animação|Sci-Fi & Fantasy
ID - Invaded	ID:Invaded	ja	2020	Animação|Drama|Mistério|Action & Adventure|Sci-Fi & Fantasy
Invencível	INVENCÍVEL	en	2021	Animação|Drama|Sci-Fi & Fantasy|Action & Adventure
Irina The Vampire Cosmonaut	Irina: The Vampire Cosmonaut	ja	2021	Animação|Drama|Sci-Fi & Fantasy
Irmão do Jorel	Irmão do Jorel	pt	2014	Animação|Comédia|Kids|Drama
Jujutsu Kaisen	Jujutsu Kaisen	ja	2020	Animação|Sci-Fi & Fantasy|Action & Adventure
Kaguya-sama Love Is War	Kaguya-sama: Love Is War	ja	2019	Comédia|Animação
Kakegurui	Kakegurui	ja	2017	Animação|Mistério|Crime|Drama
Koala Man	Koala Man	en	2023	Animação|Comédia
Kono Oto Tomare!	Kono Oto Tomare!: Sounds of Life	ja	2019	Animação|Drama
Kuroko no Basket	Kuroko's Basketball	ja	2012	Animação|Comédia|Drama
Kyokou Suiri	In/Spectre	ja	2020	Animação|Comédia|Mistério|Sci-Fi & Fantasy
LEGO Aventuras na Cidade	LEGO Aventuras na Cidade	en	2019	Animação|Action & Adventure|Família|Comédia|Kids
LEGO Ninjago - Mestres do Spinjitzu	Ninjago: Mestres do Spinjitzu	en	2012	Animação|Action & Adventure|Sci-Fi & Fantasy|Comédia|Família
LEGO Star Wars - All-Stars	LEGO Star Wars: All-Stars	en	2018	Animação|Família|Comédia|Sci-Fi & Fantasy
LEGO Star Wars - As Aventuras dos Freemaker	LEGO Star Wars: As Aventuras dos Freemaker	en	2016	Animação|Comédia|Família|Kids|Sci-Fi & Fantasy|Action & Adventure
Liga da Justiça Ação	Liga da Justiça Ação	en	2016	Animação|Action & Adventure|Sci-Fi & Fantasy|Kids
Lilo e Stitch - A Série	Lilo e Stitch: A Série	en	2003	Animação|Comédia|Família|Sci-Fi & Fantasy|Action & Adventure
Looney Tunes Cartoons	Looney Tunes Cartoons	en	2020	Animação|Comédia|Família
Lost Song	Lost Song	ja	2018	Animação|Action & Adventure|Sci-Fi & Fantasy
Love Death e Robots	Love, Death & Robots	en	2019	Animação|Sci-Fi & Fantasy
Magos - Contos da Arcadia	Magos: Contos da Arcadia	en	2020	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy
Mao Mao - Heróis de Coração Puro	Mao Mao: Heróis de Coração Puro	en	2019	Animação|Action & Adventure|Comédia|Família|Sci-Fi & Fantasy
Mars Red	Mars Red	ja	2021	Animação|Mistério|Sci-Fi & Fantasy
Marvels M.O.D.O.K	Marvel's M.O.D.O.K.	en	2021	Comédia|Animação|Action & Adventure|Sci-Fi & Fantasy
Mashiro no Oto	Those Snow White Notes	ja	2021	Animação|Drama
Megas XLR	Megas XLR	en	2004	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy|Kids
Meikyuu Black Company	The Dungeon of Black Company	ja	2021	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
